Organization Group,Job,Total Compensation
"Public Works, Transportation & Commerce",Pr Administrative Analyst,136489.2
"Public Works, Transportation & Commerce",Sheet Metal Supervisor 1,90851.4
Public Protection,Inspector 3,169831.67
Public Protection,Firefighter,180775.06
Culture & Recreation,Pool Lifeguard,19014.28
Public Protection,Attorney (Civil/Criminal),250929.28
"Public Works, Transportation & Commerce",Communications Dispatcher 2,97765.47
Community Health,Manager III,228477.14
Culture & Recreation,Administrative Analyst,125201.14
"Public Works, Transportation & Commerce",Building Inspector,162541.27
Public Protection,Police Officer 2,139843.93
Public Protection,EMT/Paramedic/Firefighter,167219.96
General Administration & Finance,Sr Community Devl Spc 1,135990.12
"Public Works, Transportation & Commerce",Transit Operator,112773.93
"Public Works, Transportation & Commerce",Electrical Transit System Mech,137256.1
General Administration & Finance,Worker's Comp Supervisor 1,149307.62
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,83911.77
Community Health,Occupational Therapist,156935.97
General Administration & Finance,Collections Officer,97452.51
Community Health,Patient Care Assistant,75898.7
"Public Works, Transportation & Commerce",Electrical Transit System Mech,213471.66
Culture & Recreation,Pool Lifeguard,16215.27
Community Health,Registered Nurse,11668.21
"Public Works, Transportation & Commerce",Apprentice Arborist Tech I,28340.17
Community Health,Senior Telephone Operator,96917.43
"Public Works, Transportation & Commerce",Public Relations Assistant,59840.91
Community Health,Registered Nurse,226144.86
Culture & Recreation,Pool Lifeguard,17231.35
Community Health,Senior Food Service Worker,58235.42
Human Welfare & Neighborhood Development,Manager I,160906.88
General Administration & Finance,Senior Clerk Typist,94867.55
Community Health,Clinical Psychologist,117119.71
"Public Works, Transportation & Commerce",Senior Clerk,72221.98
General Administration & Finance,Custodian,90985.45
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",47007.46
Public Protection,EMT/Paramedic/Firefighter,107985.56
Culture & Recreation,Museum Guard,102124.51
"Public Works, Transportation & Commerce",Transit Operator,130327.27
Public Protection,Deputy Court Clerk III,12837.93
Community Health,Registered Nurse,194409.16
"Public Works, Transportation & Commerce",Construction Inspector,152189.0
Community Health,Accountant II,105524.92
"Public Works, Transportation & Commerce",Transit Planner III,81144.35
Community Health,Special Nurse,13373.05
Public Protection,Deputy Sheriff,185925.08
Public Protection,Deputy Sheriff,149153.02
Culture & Recreation,Chief Stationary Engineer,76311.86
Public Protection,Police Officer 3,158380.61
Community Health,Nursing Assistant,40184.28
Community Health,Manager VI,67378.52
Public Protection,Automotive Service Worker,17411.55
Culture & Recreation,Manager I,200987.85
Public Protection,Firefighter,32167.02
"Public Works, Transportation & Commerce",Heating/Ventilating Inspector,166774.76
Community Health,Nurse Practitioner,137268.19
Public Protection,Media Production Tech,96834.28
Community Health,Registered Nurse,175328.8
Culture & Recreation,Recreation Leader,74810.09
"Public Works, Transportation & Commerce",Construction Inspector,142210.01
Human Welfare & Neighborhood Development,Program Specialist,122421.6
"Public Works, Transportation & Commerce",General Laborer,45849.09
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,158539.84
Public Protection,Senior Physician Specialist,72408.54
"Public Works, Transportation & Commerce",IT Operations Support Admin IV,148454.87
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,20316.95
Community Health,Special Nurse,13154.04
"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,118864.58
Community Health,Psychiatric Social Worker,57157.98
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",30913.9
Human Welfare & Neighborhood Development,Senior Clerk Typist,92108.06
General Administration & Finance,IS Business Analyst-Principal,178543.87
Community Health,Porter,23262.49
"Public Works, Transportation & Commerce",Custodian,91623.89
Public Protection,Attorney (Civil/Criminal),251044.06
Culture & Recreation,Recreation Leader,29063.03
Community Health,Senior Account Clerk,101907.83
Human Welfare & Neighborhood Development,Protective Services Worker,150629.29
"Public Works, Transportation & Commerce",Transit Operator,122671.45
Public Protection,Firefighter,162123.76
General Administration & Finance,IS Engineer-Assistant,76533.47
Public Protection,"Lieutenant, Fire Suppression",193944.64
Public Protection,Sergeant 3,209832.93
General Administration & Finance,Animal Control Officer,96832.06
Community Health,"Marriage, Family & Child Cnslr",122811.7
Community Health,Registered Nurse,172192.15
Culture & Recreation,Gardener,80334.11
General Administration & Finance,Benefits Technician,93123.46
"Public Works, Transportation & Commerce",Personnel Analyst,130250.56
Public Protection,Deputy Sheriff,182108.1
"Public Works, Transportation & Commerce",Transit Operator,112338.02
"Public Works, Transportation & Commerce",Fusion Welder,123575.87
Community Health,Patient Svcs Finance Tech,92692.91
Community Health,Nursing Assistant,13216.3
General Administration & Finance,Communications Line Wrk Sprv 2,185872.84
Community Health,Senior Physician Specialist,159038.45
General Administration & Finance,Cashier 2,14455.5
Public Protection,Deputy Sheriff,150186.02
General Administration & Finance,IS Business Analyst-Senior,33224.99
Culture & Recreation,Painter,115405.98
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,203124.14
Public Protection,Deputy Sheriff,156540.23
Community Health,Registered Nurse,187088.17
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",45750.34
Culture & Recreation,Museum Guard,113548.27
"Public Works, Transportation & Commerce",Transit Car Cleaner,18213.88
Public Protection,Police Officer 3,179972.82
"Public Works, Transportation & Commerce",Transit Operator,95483.7
Human Welfare & Neighborhood Development,Clerk,72360.28
Community Health,Registered Nurse,180617.65
Human Welfare & Neighborhood Development,Senior Eligibility Worker,99229.25
General Administration & Finance,Animal Control Officer,102661.03
Culture & Recreation,Gardener,97864.88
Culture & Recreation,Recreation Specialist,39480.97
Community Health,Unit Clerk,94579.75
Community Health,Pharmacy Technician,119763.01
"Public Works, Transportation & Commerce",Custodian,87156.52
"Public Works, Transportation & Commerce",Secretary 2,48655.67
Public Protection,Social Worker,12632.2
"Public Works, Transportation & Commerce",Senior Water Services Clerk,94166.82
General Administration & Finance,Legislative Assistant,142377.58
Community Health,Hospital Eligiblity Worker,114134.98
Community Health,Food Service Worker,45334.27
"Public Works, Transportation & Commerce",Senior Clerk,26217.15
Community Health,Nursing Assistant,135373.72
Community Health,Porter,19600.92
Culture & Recreation,Bldg & Grounds Patrol Officer,48227.16
General Administration & Finance,Planner 3,52094.22
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,13160.19
"Public Works, Transportation & Commerce",EEO Senior Specialist,157550.13
Human Welfare & Neighborhood Development,Principal Environ Specialist,157241.34
"Public Works, Transportation & Commerce",Tile Setter,102488.77
Human Welfare & Neighborhood Development,Account Clerk,87318.74
Community Health,Registered Nurse,185803.51
Human Welfare & Neighborhood Development,IS Business Analyst-Senior,161019.11
"Public Works, Transportation & Commerce",Pr Administrative Analyst,162025.91
General Administration & Finance,IS Engineer-Senior,169791.81
"Public Works, Transportation & Commerce",Structural Engineer,202120.24
"Public Works, Transportation & Commerce",Manager VII,171227.21
Culture & Recreation,Recreation Leader,13453.19
"Public Works, Transportation & Commerce",Painter,93390.85
Community Health,Nurse Manager,253968.46
Public Protection,Firefighter,219600.5
Human Welfare & Neighborhood Development,Account Clerk,40174.85
"Public Works, Transportation & Commerce",IS Engineer-Senior,155315.19
"Public Works, Transportation & Commerce",Account Clerk,30678.88
Public Protection,Police Officer,120634.98
Public Protection,Police Officer,159352.89
General Administration & Finance,Junior Management Assistant,50408.4
Public Protection,Executive Secretary 3,38844.42
"Public Works, Transportation & Commerce",Parking Control Officer,109209.48
Public Protection,Firefighter,206467.63
Community Health,Special Nurse,77271.62
Community Health,Health Educator,55682.39
General Administration & Finance,Manager III,39382.64
Culture & Recreation,Librarian 1,62034.87
Community Health,Licensed Vocational Nurse,139551.6
"Public Works, Transportation & Commerce",Custodian,91643.67
General Administration & Finance,Publ Svc Aide-Asst To Prof,26706.68
"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,14540.29
"Public Works, Transportation & Commerce",Parking Control Officer,102224.29
"Public Works, Transportation & Commerce",Maintenance Machinist,85691.23
"Public Works, Transportation & Commerce",Automotive Service Worker,113174.34
Community Health,Registered Nurse,71513.57
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,26533.69
Community Health,Health Worker 2,93745.15
Culture & Recreation,Library Page,11718.07
"Public Works, Transportation & Commerce",Parking Control Officer,89351.28
"Public Works, Transportation & Commerce",Switch Repairer,87229.1
Culture & Recreation,Library Page,14302.45
"Public Works, Transportation & Commerce",Supt Water Treatment Fac,112974.72
Public Protection,Sergeant 2,50164.79
Public Protection,Firefighter,34268.06
General Administration & Finance,Attorney (Civil/Criminal),201731.17
Public Protection,Sergeant 3,224806.21
"Public Works, Transportation & Commerce",Accountant III,35991.85
Culture & Recreation,Library Page,35223.48
Community Health,Patient Accounts Clerk,103790.23
"Public Works, Transportation & Commerce",Electrical Transit System Mech,116172.65
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,36718.84
General Administration & Finance,Custodian,80815.97
Community Health,Medical Records Technician,102182.41
"Public Works, Transportation & Commerce",Transit Operator,68958.75
Public Protection,Police Officer,142739.39
"Public Works, Transportation & Commerce",Secretary 2,47107.13
"Public Works, Transportation & Commerce",IT Operations Support Admin I,108537.48
Public Protection,Police Officer 2,206859.65
Public Protection,"Captain, Fire Suppression",223742.13
Public Protection,"Lieutenant, Fire Suppression",114231.59
Human Welfare & Neighborhood Development,Junior Administrative Analyst,13145.48
Culture & Recreation,Custodian,89876.79
Public Protection,Police Officer,211921.43
Community Health,Special Nurse,91917.72
Community Health,Registered Nurse,104618.46
Human Welfare & Neighborhood Development,HSA Social Worker,62212.2
"Public Works, Transportation & Commerce",Watershed Keeper,113272.37
"Public Works, Transportation & Commerce",Airport Economic Planner,127583.17
Community Health,Special Nurse,73539.8
General Administration & Finance,Attorney (Civil/Criminal),246625.01
"Public Works, Transportation & Commerce",Assistant Const Inspector,111512.82
"Public Works, Transportation & Commerce",Transit Supervisor,134846.61
Human Welfare & Neighborhood Development,"Rep, Comm Status Of Women",55020.86
Community Health,Pharmacy Technician,134848.08
Community Health,Registered Nurse,205793.39
General Administration & Finance,Customer Service Agent,120361.56
Public Protection,IT Operations Support Admn III,36296.2
Community Health,Porter,86437.36
General Administration & Finance,Manager V,15870.47
Community Health,Diagnostic Imaging Tech II,180191.98
Community Health,Registered Nurse,152142.16
General Administration & Finance,Sr Community Devl Spc 1,136133.17
"Public Works, Transportation & Commerce",Planner 5,22151.55
"Public Works, Transportation & Commerce",Transit Power Line Worker,167273.38
"Public Works, Transportation & Commerce",Transit Operator,75575.78
Community Health,Health Worker 3,100930.38
Public Protection,"Insp, Fire Dept",218824.14
Human Welfare & Neighborhood Development,Protective Services Worker,115769.95
"Public Works, Transportation & Commerce",Asst Engr,125459.69
General Administration & Finance,EEO Senior Specialist,164690.56
Public Protection,Court Supervisor II,170636.12
"Public Works, Transportation & Commerce",Automotive Service Worker,123699.98
Community Health,Eligibility Worker,99521.63
Community Health,Sr Environmental Hlth Insp,72259.58
"Public Works, Transportation & Commerce",Junior Management Assistant,50537.45
General Administration & Finance,Elections Clerk,93830.43
"Public Works, Transportation & Commerce",Transit Operator,76424.28
Community Health,Principal Clerk,111045.16
Community Health,Registered Nurse,113733.89
"Public Works, Transportation & Commerce",Administrative Analyst,44625.84
Community Health,Stationary Engineer,34865.41
Community Health,Senior Clerk,82987.57
Community Health,Licensed Vocational Nurse,111405.63
Human Welfare & Neighborhood Development,Senior Eligibility Worker,56271.6
"Public Works, Transportation & Commerce",Water Service Inspector,140806.12
Public Protection,Fire Safety Inspector 2,198079.08
Community Health,Patient Care Assistant,79672.7
Public Protection,Police Officer 2,217941.71
Culture & Recreation,Custodial Assistant Supervisor,95801.54
Community Health,Nurse Midwife,10024.94
"Public Works, Transportation & Commerce",Junior Administrative Analyst,97197.2
Community Health,Accountant III,131660.52
Culture & Recreation,Museum Guard,21989.51
"Public Works, Transportation & Commerce",Asst Engr,132348.91
Culture & Recreation,Library Page,37923.59
Community Health,Nursing Supervisor,112037.03
"Public Works, Transportation & Commerce",Truck Driver,139427.78
"Public Works, Transportation & Commerce",Construction Inspector,69063.1
"Public Works, Transportation & Commerce",Assoc Engineer,162505.73
"Public Works, Transportation & Commerce",Urban Forestry Inspector,91652.89
"Public Works, Transportation & Commerce",Secretary 2,96432.79
Human Welfare & Neighborhood Development,Emp & Training Spec 4,132240.52
Community Health,Registered Nurse,161078.21
"Public Works, Transportation & Commerce","Electrl Trnst Mech, Asst Sprv",169014.73
"Public Works, Transportation & Commerce",Bldgs & Grounds Maint Supt,45189.21
Community Health,Food Service Worker,81115.55
"Public Works, Transportation & Commerce",Coord Of Citizen Involvement,120377.64
Community Health,Senior Personnel Analyst,137566.13
Community Health,Registered Nurse,174869.06
Community Health,Porter,91515.9
Human Welfare & Neighborhood Development,HSA Social Worker,115566.77
"Public Works, Transportation & Commerce",Transit Operations Specialist,42193.37
Public Protection,Community Police Services Aide,104330.22
Human Welfare & Neighborhood Development,Senior Eligibility Worker,90100.38
Public Protection,Police Officer 3,169640.28
"Public Works, Transportation & Commerce",Electrical Transit System Mech,142161.45
"Public Works, Transportation & Commerce",Transit Operator,105432.77
Community Health,Hospital Eligiblity Worker,74069.17
"Public Works, Transportation & Commerce",Gardener,43432.6
Community Health,Health Worker 1,82406.55
Community Health,Patient Care Assistant,26629.7
"Public Works, Transportation & Commerce",Transit Operator,132819.31
General Administration & Finance,Stationary Engineer,140241.17
"Public Works, Transportation & Commerce",Sheet Metal Worker,87686.63
"Public Works, Transportation & Commerce",Transit Operator,167166.89
"Public Works, Transportation & Commerce","Manager II, MTA",18550.86
Public Protection,Manager I,190706.23
Community Health,Health Program Coordinator 3,152060.62
Community Health,Physical Therapist,139349.17
Community Health,Medical Evaluations Assistant,91724.89
"Public Works, Transportation & Commerce",Utility Plumber Apprentice,100277.51
"Public Works, Transportation & Commerce",Electrician,150394.01
Culture & Recreation,Recreation Leader,33609.96
"Public Works, Transportation & Commerce",General Laborer,116320.97
Community Health,Porter,72244.09
Community Health,Special Nurse,32931.65
Culture & Recreation,Library Technical Assistant 1,55374.56
"Public Works, Transportation & Commerce",Sign Worker,34178.55
"Public Works, Transportation & Commerce",Transit Supervisor,151789.87
"Public Works, Transportation & Commerce",Museum Preparator,25153.68
Community Health,Project Manager 1,184602.2
Public Protection,Firefighter,196617.05
Community Health,Special Nurse,33503.74
"Public Works, Transportation & Commerce",Senior Clerk,73220.35
"Public Works, Transportation & Commerce",Executive Secretary 2,117429.61
"Public Works, Transportation & Commerce",Transit Operator,109501.14
"Public Works, Transportation & Commerce",Automotive Machinist,133194.38
Community Health,Senior Microbiologist,105175.73
Public Protection,Manager I,162145.47
Community Health,Patient Care Assistant,95095.68
Community Health,Special Nurse,28590.25
Community Health,Clerk,78833.83
"Public Works, Transportation & Commerce",Transit Operator,79510.55
"Public Works, Transportation & Commerce",Airport Communications Disp,149313.11
"Public Works, Transportation & Commerce",Assoc Engineer,165960.41
"Public Works, Transportation & Commerce",Transit Operator,119332.9
Public Protection,Police Officer,44182.73
"Public Works, Transportation & Commerce",Senior Personnel Analyst,129170.03
Community Health,Senior Clerk,82515.64
Culture & Recreation,Recreation Leader,11372.62
Public Protection,Police Officer,17667.57
"Public Works, Transportation & Commerce",Senior Clerk,65537.3
Community Health,Registered Nurse,52973.62
Public Protection,Deputy Probation Officer,106419.69
Community Health,Nursing Assistant,107561.72
Public Protection,Police Officer,146192.43
Human Welfare & Neighborhood Development,Senior Eligibility Worker,104628.43
Human Welfare & Neighborhood Development,Principal Environ Specialist,25915.55
Public Protection,Deputy Probation Officer SFERS,98321.45
"Public Works, Transportation & Commerce",Structural Engineer,172373.16
Human Welfare & Neighborhood Development,Senior Eligibility Worker,112103.28
General Administration & Finance,Planner 3,144387.92
"Public Works, Transportation & Commerce",Automotive Service Worker,152253.0
Public Protection,Deputy Sheriff,143189.42
"Public Works, Transportation & Commerce",Building Inspector,165888.2
General Administration & Finance,Legal Secretary 1,90837.59
Community Health,Eligibility Worker,102595.63
"Public Works, Transportation & Commerce",Parking Control Officer,76286.71
General Administration & Finance,Animal Control Officer,15430.25
"Public Works, Transportation & Commerce",Transit Operator,93253.21
Public Protection,Public Safetycomm Disp,187939.44
Culture & Recreation,Recreation Coordinator,17414.72
Public Protection,Lieutenant 3,133717.78
"Public Works, Transportation & Commerce",Electrical Transit System Mech,139391.06
"Public Works, Transportation & Commerce",Transit Operator,155466.94
"Public Works, Transportation & Commerce",Landscape Architect Assoc 2,37489.95
General Administration & Finance,Forensic Laboratory Technician,83774.2
Human Welfare & Neighborhood Development,Clerk,32629.73
"Public Works, Transportation & Commerce",Engineering Associate 1,119305.51
"Public Works, Transportation & Commerce",Airport Economic Planner,172623.56
Community Health,Psychiatric Social Worker,133420.76
"Public Works, Transportation & Commerce",Carpenter Supervisor 1,87215.41
Human Welfare & Neighborhood Development,Dept Head V,367902.24
"Public Works, Transportation & Commerce",Cement Mason,116200.01
General Administration & Finance,Senior Collections Officer,109063.55
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10913.33
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,117955.5
Public Protection,Sergeant 3,251527.95
Public Protection,Firefighter,173521.61
Human Welfare & Neighborhood Development,Clinical Psychologist,83557.36
Human Welfare & Neighborhood Development,Senior Eligibility Worker,17556.82
General Administration & Finance,Auditor II,29615.14
Public Protection,Public Defender's Investigator,132340.66
Public Protection,Senior Clerk Typist,92805.36
General Administration & Finance,Accountant Intern,26770.63
General Administration & Finance,Personnel Analyst,38668.78
Culture & Recreation,Gardener,97515.83
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,52942.2
"Public Works, Transportation & Commerce",Transit Operator,113790.74
Human Welfare & Neighborhood Development,Emp & Training Spec 2,112494.96
Community Health,"Marriage, Family & Child Cnslr",101305.51
Public Protection,Police Officer 3,201025.94
Community Health,Nursing Assistant,104643.25
General Administration & Finance,Mayoral Staff II,75590.19
Community Health,Patient Care Assistant,30797.26
"Public Works, Transportation & Commerce",Electrical Line Helper,117252.46
Culture & Recreation,Gardener,106262.13
Community Health,Special Nurse,34005.79
Culture & Recreation,Library Page,40299.96
Public Protection,Attorney (Civil/Criminal),222951.1
Culture & Recreation,Aquatics Facility Supervisor,73645.87
Public Protection,Sheriff's Cadet,76551.33
Human Welfare & Neighborhood Development,Protective Services Supervisor,41113.46
General Administration & Finance,Benefits Technician,51910.01
General Administration & Finance,Clerk,41245.83
"Public Works, Transportation & Commerce",Transit Operator,72019.61
Community Health,Health Care Billing Clerk 2,86226.13
Community Health,Patient Care Assistant,64826.62
Community Health,Patient Svcs Finance Tech,78502.94
Public Protection,Police Officer 2,178536.21
Public Protection,Deputy Probation Officer,136458.98
Public Protection,Public Safetycomm Disp,15741.91
"Public Works, Transportation & Commerce",Water Service Inspector,146612.86
Culture & Recreation,Bldg & Grounds Patrol Officer,34004.24
"Public Works, Transportation & Commerce",Secretary 2,99496.5
Community Health,Special Nurse,34418.7
Community Health,Registered Nurse,210744.33
Community Health,Junior Administrative Analyst,89825.79
Human Welfare & Neighborhood Development,HSA Social Worker,77635.12
"Public Works, Transportation & Commerce",Painter,98280.68
Public Protection,Police Officer 2,119025.81
"Public Works, Transportation & Commerce",IS Engineer-Principal,194635.78
Public Protection,Attorney (Civil/Criminal),225120.31
Community Health,Patient Care Assistant,90963.85
Public Protection,Police Officer 2,165741.5
"Public Works, Transportation & Commerce",Manager V,65430.41
Community Health,IS Business Analyst-Principal,178404.84
"Public Works, Transportation & Commerce",Employment & Training Spec 3,17816.97
Public Protection,Police Officer,20534.24
Community Health,Health Worker 1,12616.58
Human Welfare & Neighborhood Development,Protective Services Worker,116393.97
"Public Works, Transportation & Commerce",Transit Manager 2,169662.77
"Public Works, Transportation & Commerce",Water Conservation Admin,141234.97
Public Protection,Police Officer,61950.41
"Public Works, Transportation & Commerce",Pr Administrative Analyst,162823.38
"Public Works, Transportation & Commerce",Junior Engineer,121391.06
Community Health,Manager II,184628.99
General Administration & Finance,Manager II,119391.76
Community Health,Eligibility Worker,79652.23
Public Protection,Deputy Court Clerk II,87227.9
Public Protection,"Lieutenant, Fire Suppression",211642.22
"Public Works, Transportation & Commerce","Operating Engineer, Universal",191052.66
"Public Works, Transportation & Commerce",Construction Inspector,152110.79
Community Health,Registered Nurse,221788.65
General Administration & Finance,Contract Compliance Officer 1,127047.44
Community Health,Speech Pathologist,133510.57
General Administration & Finance,Personnel Analyst,129720.42
General Administration & Finance,IS Business Analyst-Principal,177265.0
Culture & Recreation,Animal Care Attendant,88652.56
Human Welfare & Neighborhood Development,Executive Secretary 1,112182.87
General Administration & Finance,IT Operations Support Admin IV,149662.59
Community Health,Registered Nurse,225561.11
Community Health,Porter,91597.07
Public Protection,Public Safetycomm Disp,162181.01
"Public Works, Transportation & Commerce",Senior Water Services Clerk,103242.12
General Administration & Finance,Manager VI,234914.41
"Public Works, Transportation & Commerce",Custodian,87041.45
Human Welfare & Neighborhood Development,Chief Telephone Operator,99933.65
"Public Works, Transportation & Commerce",Parking Control Officer,82827.73
Human Welfare & Neighborhood Development,Medical Social Worker,58629.33
"Public Works, Transportation & Commerce",Transit Operator,61156.57
Community Health,Nurse Manager,251587.84
"Public Works, Transportation & Commerce",Utility Specialist,174872.92
General Administration & Finance,Administrative Analyst,114800.3
Culture & Recreation,Library Assistant,73463.63
General Administration & Finance,Account Clerk,23134.26
Community Health,Special Nurse,16488.99
"Public Works, Transportation & Commerce",Asst Engr,141510.27
"Public Works, Transportation & Commerce",Automotive Service Worker,136313.54
Public Protection,Firefighter,208856.13
"Public Works, Transportation & Commerce",Custodian,89410.77
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,80836.51
Public Protection,"Head Atty, Civil & Criminal",32072.58
Culture & Recreation,Library Technical Assistant 2,116167.29
"Public Works, Transportation & Commerce",IS Engineer-Journey,167775.89
Public Protection,Police Officer,120193.01
Public Protection,Sheriff's Lieutenant,226199.22
General Administration & Finance,IS Programmer Analyst-Senior,142412.92
Public Protection,Sr Payroll & Personnel Clerk,110336.64
"Public Works, Transportation & Commerce",Auto Machinist Asst Sprv,168718.75
Community Health,Special Nurse,90723.03
"Public Works, Transportation & Commerce",Transit Operator,40687.86
Public Protection,Police Officer 3,171109.17
Community Health,Food Service Worker,43646.76
"Public Works, Transportation & Commerce",Assoc Engineer,37731.17
"Public Works, Transportation & Commerce",Cashier 2,90853.61
Human Welfare & Neighborhood Development,HSA Social Worker,109478.45
Public Protection,Payroll Clerk,106253.68
"Public Works, Transportation & Commerce",Transit Car Cleaner,94378.41
"Public Works, Transportation & Commerce",Transit Operator,130679.54
"Public Works, Transportation & Commerce",Utility Analyst,76017.97
Public Protection,Attorney (Civil/Criminal),160225.11
Human Welfare & Neighborhood Development,Senior Administrative Analyst,141861.01
Public Protection,Lieutenant (Police Department),15138.9
Public Protection,Firefighter,185925.82
"Public Works, Transportation & Commerce",General Laborer,83807.97
"Public Works, Transportation & Commerce",Transit Operator,123625.87
Community Health,Maintenance Planner,80173.15
Community Health,Special Nurse,68405.12
Community Health,Special Nurse,41222.52
Community Health,Registered Nurse,183652.01
Public Protection,"Lieutenant, Fire Suppression",222990.58
"Public Works, Transportation & Commerce",Track Maint Wrk Sprv 1,187348.87
Human Welfare & Neighborhood Development,Senior Eligibility Worker,96779.35
Public Protection,Legal Process Clerk,33124.03
"Public Works, Transportation & Commerce",Custodian,82758.4
"Public Works, Transportation & Commerce",Dep Dir III,143559.57
General Administration & Finance,Benefits Analyst,106831.68
Community Health,Clinical Pharmacist,223557.29
General Administration & Finance,Pr Administrative Analyst,163812.51
Culture & Recreation,Gardener,111098.67
Community Health,Health Program Coordinator 1,59152.98
"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,159958.33
Human Welfare & Neighborhood Development,Social Work Specialist,122202.79
Public Protection,Deputy Probation Officer,134761.16
Community Health,Psychiatric Technician,87184.64
"Public Works, Transportation & Commerce",Industrial Hygienist,152412.86
Culture & Recreation,Secretary 2,100968.08
General Administration & Finance,Senior Collections Officer,93123.7
Culture & Recreation,Gardener,97832.21
"Public Works, Transportation & Commerce",IS Engineer-Senior,56805.37
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,11586.03
Culture & Recreation,Recreation Leader,20281.93
"Public Works, Transportation & Commerce",Custodian,94068.86
"Public Works, Transportation & Commerce",Transit Operator,46178.37
General Administration & Finance,Microphoto/Imaging Technician,76845.97
Public Protection,Deputy Probation Officer,128966.75
"Public Works, Transportation & Commerce",Utility Plumber Supervisor 1,237484.78
Public Protection,IS Programmer Analyst,88799.6
Community Health,Occupational Therapist,157361.17
General Administration & Finance,Senior Collections Officer,110837.31
General Administration & Finance,Secretary 2,100901.48
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",135960.0
"Public Works, Transportation & Commerce",Carpenter,128109.29
Public Protection,Deputy Sheriff,169250.03
Community Health,Senior Clerk,86922.4
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,12691.69
"Public Works, Transportation & Commerce",Survey Assistant II,121522.45
Community Health,Porter,85223.35
"Public Works, Transportation & Commerce",Senior Personnel Analyst,114485.83
Community Health,Registered Nurse,159825.14
Public Protection,Police Officer,180685.84
"Public Works, Transportation & Commerce",Permit Technician II,105132.01
Public Protection,"Captain, Emergency Med Svcs",275197.38
General Administration & Finance,Custodian,82202.31
General Administration & Finance,Manager VII,17708.11
General Administration & Finance,Customer Service Agent,104984.58
Community Health,Registered Nurse,112159.71
Culture & Recreation,Custodial Assistant Supervisor,88792.76
Public Protection,Attorney (Civil/Criminal),250992.41
Community Health,Food Service Worker,51755.21
Public Protection,Sheriff's Lieutenant,197006.58
Culture & Recreation,Park Patrol Officer,20084.72
Public Protection,Attorney (Civil/Criminal),246539.89
Public Protection,Police Officer 2,181438.79
General Administration & Finance,Contract Compliance Officer 1,40918.78
"Public Works, Transportation & Commerce",Transit Car Cleaner Asst Sprv,119774.05
"Public Works, Transportation & Commerce",Senior Parts Storekeeper,117241.82
Culture & Recreation,Library Page,43349.13
General Administration & Finance,Attorney (Civil/Criminal),250693.29
"Public Works, Transportation & Commerce","Station Agent, Muni Railway",106717.41
Community Health,Nurse Practitioner,96099.73
"Public Works, Transportation & Commerce",Training Officer,130799.24
General Administration & Finance,Animal Control Officer,48799.01
Public Protection,Sheriff's Cadet,72026.3
Community Health,Nurses Staffing Assistant,92873.87
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,85087.62
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,173318.09
Public Protection,Institutional Police Officer,109047.73
"Public Works, Transportation & Commerce",Airports Communications Sprv,132416.66
Public Protection,Sergeant 3,211499.19
"Public Works, Transportation & Commerce",Transit Operator,68601.02
Human Welfare & Neighborhood Development,Senior Clerk Typist,94808.95
"Public Works, Transportation & Commerce",Manager II,194280.51
Community Health,Nursing Assistant,74249.58
"Public Works, Transportation & Commerce",Training Officer,73327.86
Culture & Recreation,Custodian,88111.37
Community Health,Food Service Worker,47188.53
Public Protection,Lieutenant (Police Department),52532.31
"Public Works, Transportation & Commerce",Electrical Transit System Mech,198798.16
"Public Works, Transportation & Commerce",Electrical Inspector,30510.52
Public Protection,Attorney (Civil/Criminal),222090.74
"Public Works, Transportation & Commerce",Junior Management Assistant,31051.54
Community Health,Disease Control Investigator,30142.02
Human Welfare & Neighborhood Development,Senior Eligibility Worker,83826.84
Community Health,Eligibility Worker,90961.55
Public Protection,Community Police Services Aide,94149.56
Community Health,Pharmacist,259152.52
"Public Works, Transportation & Commerce",Senior Building Inspector,171783.75
"Public Works, Transportation & Commerce",Parking Control Officer,111602.36
General Administration & Finance,IS Business Analyst-Principal,178453.91
Community Health,Special Nurse,80381.86
